Order_ID,Order_Date,Order_Time,Order_Month,Order_DayOfWeek,Order_Status,Customer_ID,Customer_Name,Customer_Phone,Customer_Type,Delivery_Country,Delivery_City,Delivery_Area,Delivery_Address,Delivery_Latitude,Delivery_Longitude,Restaurant_ID,Restaurant_Brand,Restaurant_Category,Restaurant_Cuisine,Restaurant_Founded,Restaurant_Country,Restaurant_City,Restaurant_Area,Restaurant_Address,Restaurant_Latitude,Restaurant_Longitude,Restaurant_Rating,Restaurant_OnFoodpanda_Since,Restaurant_IsChain,Product_Name,Product_Category,Quantity,Unit_Price_USD,Unit_Cost_USD,Order_Subtotal_USD,Delivery_Fee_USD,Discount_USD,Promo_Code,Net_Order_Value_USD,Food_Cost_USD,Restaurant_Commission_USD,Packaging_Cost_USD,Rider_Salary_Cost_USD,Marketing_Cost_USD,Platform_Fee_USD,Gross_Revenue_USD,Total_Cost_USD,Gross_Profit_USD,Foodpanda_Net_Rev_USD,Profit_Margin_Pct,Payment_Method,Payment_Status,Rider_ID,Rider_Name,Delivery_Time_Min,On_Time,Rider_Rating,Customer_Rating,Panda_Pro_Member,App_Platform,Is_Late_Night_Order,Is_Weekend
FP-000964,2024-01-29,10:45,Jan-2024,Monday,Late Delivered,CUST-00438,Juan Santos,+88194264587,Loyal,Singapore,Singapore,Bugis,"287 Avenue 3, Bugis",1.296796,103.836088,REST-0073,Yoshinoya,Fast Food,Japanese,1899,Singapore,Singapore,Orchard,188 Commerce Blvd,1.272729,103.800247,4.3,2021,Yes,Green Tea Ice Cream,Japanese,1,8.66,2.46,8.66,1.46,0.0,,10.12,2.46,1.78,0.41,3.18,0.38,0.26,10.12,6.43,3.69,-0.47,36.46,Debit Card,Paid,RIDER-0125,Zara Santos,41,No,3.0,4.3,No,Android,No,No
FP-001921,2024-01-29,16:03,Jan-2024,Monday,Delivered,CUST-00759,Ali Kim,+73172253060,Loyal,Pakistan,Islamabad,Blue Area,"293 Avenue 18, Blue Area",33.74843,73.091652,REST-0024,Pizza Hut,Fast Food,Italian,1958,Pakistan,Islamabad,Blue Area,197 Park Lane,33.693214,73.047602,4.8,2019,Yes,BBQ Chicken Pizza,Italian,2,13.93,4.36,27.86,0.85,4.7,PANDA20,24.01,8.72,4.71,0.23,1.82,1.91,0.86,28.71,12.68,11.33,2.46,39.46,FoodPanda Credits,Paid,RIDER-0144,Hassan Khan,56,No,4.4,3.4,No,Android,No,No
FP-002891,2024-01-30,05:59,Jan-2024,Tuesday,Cancelled,CUST-00530,Siti Yamamoto,+63154267347,New,Singapore,Singapore,Tanjong Pagar,"142 Avenue 12, Tanjong Pagar",1.311429,103.869762,REST-0074,Dunkin',Cafe,Coffee,1950,Singapore,Singapore,Tanjong Pagar,56 Commerce Blvd,1.275822,103.806333,4.6,2019,Yes,Cappuccino,Coffee,3,9.08,2.93,27.24,1.59,0.0,,28.83,8.79,5.9,0.28,1.92,0.88,0.77,28.83,11.87,16.96,5.18,58.83,Credit Card,Refunded,RIDER-0182,Fatima Sharma,0,N/A,4.3,,No,iOS,No,No
FP-003385,2024-01-30,01:59,Jan-2024,Tuesday,Refunded,CUST-00165,Hassan Sharma,+82561616250,Loyal,Thailand,Chiang Mai,Old City,"258 Block 11, Old City",18.763018,98.954692,REST-0063,Hardee's,Fast Food,American,1960,Thailand,Chiang Mai,Old City,141 Park Lane,18.796565,99.017255,3.4,2016,Yes,Onion Rings,American,2,4.9,1.44,9.8,3.82,0.0,FLASHDEAL,13.62,2.88,1.33,0.43,0.95,0.48,0.22,13.62,4.74,8.88,3.51,65.2,Cash on Delivery,Refunded,RIDER-0021,Maria Costa,49,No,3.0,4.7,No,iOS,Yes,No
FP-000696,2024-01-30,23:34,Jan-2024,Tuesday,Delivered,CUST-00644,Mei Ahmed,+65800400428,Returning,Cambodia,Phnom Penh,BKK1,"115 Block 13, BKK1",11.574156,104.947413,REST-0155,Yoshinoya,Fast Food,Japanese,1899,Cambodia,Phnom Penh,Toul Kork,145 Main St,11.556506,104.902624,3.5,2021,Yes,Green Tea Ice Cream,Japanese,3,4.18,1.23,12.54,1.73,0.0,,14.27,3.69,1.62,0.35,1.02,0.65,0.45,14.27,5.71,8.56,1.78,59.99,Cash on Delivery,Paid,RIDER-0045,Raj Wong,23,Yes,3.1,3.0,No,Web,Yes,No
FP-001387,2024-01-30,05:51,Jan-2024,Tuesday,Delivered,CUST-00775,Emily Wang,+86422660441,Loyal,Pakistan,Islamabad,Blue Area,"261 Block 11, Blue Area",33.713441,73.094754,REST-0027,KFC,Fast Food,American,1952,Pakistan,Islamabad,F-7,183 Main St,33.747217,73.069538,3.3,2017,Yes,Double Cheeseburger,American,2,8.91,2.63,17.82,2.62,0.0,,20.44,5.26,3.36,0.49,1.12,1.09,0.63,20.44,7.96,12.48,3.91,61.06,Debit Card,Paid,RIDER-0199,Raj Chaudhry,19,Yes,4.3,4.2,No,Android,No,No
FP-003185,2024-01-30,11:13,Jan-2024,Tuesday,Late Delivered,CUST-00367,Emma Ali,+94463512350,Loyal,Thailand,Bangkok,Silom,"241 Street 4, Silom",13.799767,100.502341,REST-0051,Starbucks,Cafe,Coffee,1971,Thailand,Bangkok,Sukhumvit,164 Commerce Blvd,13.779776,100.532976,3.9,2021,Yes,Caffe Latte,Coffee,3,5.59,1.88,16.77,3.71,0.0,,20.48,5.64,3.1,0.53,1.28,0.92,0.37,20.48,8.37,12.11,4.45,59.13,Cash on Delivery,Paid,RIDER-0017,Wei Nguyen,54,No,4.4,4.6,No,iOS,No,No
FP-001467,2024-01-30,02:43,Jan-2024,Tuesday,Delivered,CUST-00107,Ji Suzuki,+86883415470,New,Pakistan,Karachi,Clifton,"168 Street 19, Clifton",24.877838,66.976541,REST-0007,Momo Magic,Fast Food,Nepalese,2017,Pakistan,Karachi,Clifton,85 Market Rd,24.882001,66.989519,3.8,2022,No,Gundruk Soup,Nepalese,5,6.72,1.88,33.6,2.04,0.0,FLASHDEAL,35.64,9.4,6.24,0.44,1.88,2.0,1.13,35.64,13.72,21.92,5.09,61.5,Cash on Delivery,Paid,RIDER-0150,Fatima Nguyen,36,Yes,3.5,3.0,No,Android,Yes,No
FP-003433,2024-01-30,08:56,Jan-2024,Tuesday,Delivered,CUST-00152,Aisha Singh,+79874807770,Loyal,Thailand,Bangkok,Silom,"235 Block 6, Silom",13.742705,100.485818,REST-0060,Costa Coffee,Cafe,Coffee,1971,Thailand,Bangkok,Silom,159 Main St,13.728883,100.48871,4.7,2016,Yes,Cold Brew,Coffee,1,7.23,2.51,7.23,3.29,2.02,NEWUSER30,8.5,2.51,1.2,0.24,1.96,0.39,0.26,10.52,5.1,3.4,2.16,32.32,Debit Card,Paid,RIDER-0038,Ali Suzuki,67,No,3.7,3.0,No,Web,No,No
FP-001489,2024-01-30,23:21,Jan-2024,Tuesday,Delivered,CUST-00490,Siti Malik,+62788755699,Loyal,Philippines,Cebu,IT Park,"133 Lane 17, IT Park",10.337964,123.86618,REST-0120,Biryani House,Fast Food,Pakistani,2008,Philippines,Cebu,Lahug,143 Park Lane,10.273108,123.890439,3.6,2019,No,Halwa Puri,Pakistani,3,4.72,1.64,14.16,0.8,0.0,,14.96,4.92,2.56,0.47,1.03,0.57,0.44,14.96,6.99,7.97,1.73,53.28,Digital Wallet,Paid,RIDER-0104,Ji Lee,41,No,4.7,3.6,Yes,iOS,Yes,No
FP-000531,2024-01-30,12:21,Jan-2024,Tuesday,Delivered,CUST-00230,Lena Wong,+65760360225,Returning,Myanmar,Yangon,Sanchaung,"89 Block 12, Sanchaung",16.837678,96.155184,REST-0167,Burger King,Fast Food,American,1953,Myanmar,Yangon,Bahan,87 Food Ave,16.912083,96.229703,3.7,2022,Yes,Vanilla Milkshake,American,1,4.0,1.15,4.0,1.88,0.0,FLASHDEAL,5.88,1.15,0.56,0.14,1.29,0.24,0.08,5.88,2.82,3.06,0.85,52.04,Cash on Delivery,Paid,RIDER-0165,Aisha Yamamoto,23,Yes,4.4,3.5,Yes,Web,No,No
FP-001992,2024-01-30,16:09,Jan-2024,Tuesday,Refunded,CUST-00065,Kim Silva,+77255357534,Returning,Taiwan,Taichung,Xitun,"288 Avenue 1, Xitun",24.108246,120.684483,REST-0133,Seafood Bay,Casual Dining,Seafood,2006,Taiwan,Taichung,Xitun,181 Food Ave,24.173811,120.655878,4.8,2020,No,Prawn Tempura,Seafood,1,16.73,5.54,16.73,2.88,4.68,NEWUSER30,14.93,5.54,2.09,0.45,2.08,1.09,0.4,19.61,9.16,5.77,1.75,29.42,Cash on Delivery,Refunded,RIDER-0167,Carlos Khan,56,No,2.9,4.6,No,iOS,No,No
FP-001908,2024-01-30,14:25,Jan-2024,Tuesday,Delivered,CUST-00707,Omar Singh,+96220483278,Loyal,Thailand,Bangkok,Silom,"39 Lane 2, Silom",13.778198,100.506125,REST-0051,Starbucks,Cafe,Coffee,1971,Thailand,Bangkok,Sukhumvit,164 Commerce Blvd,13.779776,100.532976,3.9,2021,Yes,Bagel & Cream Cheese,Coffee,1,6.08,1.94,6.08,3.36,0.0,,9.44,1.94,1.2,0.57,2.04,0.42,0.17,9.44,4.97,4.47,1.7,47.35,Bank Transfer,Paid,RIDER-0139,Sara Sharma,20,Yes,3.2,3.5,No,Android,No,No
FP-001702,2024-01-30,02:59,Jan-2024,Tuesday,Late Delivered,CUST-00522,John Khan,+70635008544,Loyal,Pakistan,Lahore,DHA,"167 Street 11, DHA",31.563724,74.326191,REST-0020,Biryani House,Fast Food,Pakistani,2008,Pakistan,Lahore,Model Town,122 Food Ave,31.491142,74.386812,3.3,2016,No,Halwa Puri,Pakistani,3,5.49,1.85,16.47,0.76,0.0,,17.23,5.55,2.65,0.23,1.77,0.75,0.41,17.23,8.3,8.93,1.07,51.83,Cash on Delivery,Paid,RIDER-0014,Lena Chaudhry,46,No,4.6,2.0,No,Web,Yes,No
FP-001647,2024-01-30,16:38,Jan-2024,Tuesday,Cancelled,CUST-00359,Priya Chaudhry,+76902425085,New,Singapore,Singapore,Tanjong Pagar,"61 Avenue 10, Tanjong Pagar",1.289307,103.807327,REST-0075,Dragon Palace,Fine Dining,Chinese,2001,Singapore,Singapore,Bugis,141 Park Lane,1.266854,103.882834,3.4,2022,No,Dim Sum Basket,Chinese,1,15.56,4.58,15.56,3.14,0.0,,18.7,4.58,2.39,0.46,3.25,0.55,0.6,18.7,8.84,9.86,1.87,52.73,Credit Card,Refunded,RIDER-0060,Nina Wong,0,N/A,4.5,,No,Android,No,No
FP-000558,2024-01-30,17:26,Jan-2024,Tuesday,Delivered,CUST-00383,Juan Malik,+63804086195,New,Pakistan,Islamabad,Blue Area,"110 Block 9, Blue Area",33.724686,73.053537,REST-0027,KFC,Fast Food,American,1952,Pakistan,Islamabad,F-7,183 Main St,33.747217,73.069538,3.3,2017,Yes,Classic Burger,American,2,7.86,2.17,15.72,3.38,0.0,FLASHDEAL,19.1,4.34,2.21,0.36,1.95,1.05,0.44,19.1,7.7,11.4,2.67,59.69,Credit Card,Paid,RIDER-0172,Thanh Chen,53,No,2.9,3.3,Yes,Android,No,No
FP-002511,2024-01-31,19:20,Jan-2024,Wednesday,Delivered,CUST-00240,Nina Costa,+66970768982,New,Singapore,Singapore,Tanjong Pagar,"36 Street 5, Tanjong Pagar",1.245099,103.811023,REST-0077,Pho Saigon,Casual Dining,Vietnamese,2009,Singapore,Singapore,Marina,113 Commerce Blvd,1.285958,103.812424,3.2,2019,No,Lemongrass Chicken,Vietnamese,1,18.48,5.97,18.48,1.03,3.27,PANDA20,16.24,5.97,2.32,0.73,3.95,0.72,0.47,19.51,11.37,4.87,-1.58,24.96,FoodPanda Credits,Paid,RIDER-0170,Ji Liu,30,Yes,3.5,2.7,Yes,iOS,No,No
FP-001986,2024-01-31,09:09,Jan-2024,Wednesday,Delivered,CUST-00248,Siti Lee,+83500346767,Loyal,Malaysia,Penang,Batu Ferringhi,"171 Street 20, Batu Ferringhi",5.452011,100.336711,REST-0098,Seafood Bay,Casual Dining,Seafood,2006,Malaysia,Penang,Batu Ferringhi,134 Park Lane,5.361135,100.329641,4.5,2021,No,Crab Butter Garlic,Seafood,2,25.2,8.59,50.4,3.12,0.0,,53.52,17.18,8.1,0.3,2.44,1.97,1.86,53.52,21.89,31.63,8.37,59.1,Cash on Delivery,Paid,RIDER-0096,John Sharma,59,No,4.7,2.7,No,Android,No,No
FP-001634,2024-01-31,01:30,Jan-2024,Wednesday,Delivered,CUST-00663,Ali Chen,+89796091085,Returning,Pakistan,Islamabad,G-9,"189 Street 15, G-9",33.725034,73.058007,REST-0030,Pad Thai Street,Fast Food,Thai,2010,Pakistan,Islamabad,Blue Area,132 Commerce Blvd,33.688739,73.084884,3.4,2016,No,Tom Yum Soup,Thai,1,8.14,2.6,8.14,1.82,0.0,FREEDELIVERY,9.96,2.6,1.26,0.23,1.5,0.4,0.25,9.96,4.73,5.23,1.2,52.51,Debit Card,Paid,RIDER-0123,Ahmed Singh,40,Yes,2.7,2.4,No,iOS,Yes,No
FP-000070,2024-01-31,09:11,Jan-2024,Wednesday,Delivered,CUST-00012,Wei Costa,+85963919401,Loyal,Myanmar,Yangon,Sanchaung,"151 Lane 6, Sanchaung",16.893381,96.182102,REST-0169,Pad Thai Street,Fast Food,Thai,2010,Myanmar,Yangon,Sanchaung,187 Commerce Blvd,16.864311,96.222582,4.2,2016,No,Satay Chicken,Thai,2,6.73,1.91,13.46,2.04,0.0,,15.5,3.82,1.72,0.3,1.44,0.57,0.28,15.5,6.13,9.37,1.73,60.45,Cash on Delivery,Paid,RIDER-0121,David Liu,54,No,2.6,4.8,No,iOS,No,No
FP-001627,2024-01-31,09:48,Jan-2024,Wednesday,Delivered,CUST-00662,Maria Ali,+70885033297,New,Bangladesh,Chittagong,Nasirabad,"236 Lane 13, Nasirabad",22.319039,91.877003,REST-0050,Pho Saigon,Casual Dining,Vietnamese,2009,Bangladesh,Chittagong,GEC,12 Main St,22.359676,91.811891,3.2,2018,No,Lemongrass Chicken,Vietnamese,2,10.81,2.93,21.62,1.81,0.0,,23.43,5.86,4.74,0.38,1.65,0.84,0.66,23.43,8.73,14.7,4.34,62.74,Bank Transfer,Paid,RIDER-0161,Ji Suzuki,54,No,2.8,2.7,No,iOS,No,No
FP-001058,2024-01-31,19:32,Jan-2024,Wednesday,Late Delivered,CUST-00082,Omar Chen,+74760465943,Returning,Myanmar,Yangon,Kamaryut,"167 Lane 12, Kamaryut",16.899999,96.223245,REST-0170,Ichiban Boshi,Casual Dining,Japanese,1993,Myanmar,Yangon,Sanchaung,190 Commerce Blvd,16.838794,96.161139,4.5,2022,Yes,Gyudon Beef Bowl,Japanese,1,8.61,2.79,8.61,1.25,0.0,LUNCHSPECIAL,9.86,2.79,1.66,0.36,1.55,0.34,0.33,9.86,5.04,4.82,0.99,48.88,Debit Card,Paid,RIDER-0182,Fatima Sharma,49,No,4.6,3.3,No,Android,No,No
FP-002361,2024-01-31,12:49,Jan-2024,Wednesday,Refunded,CUST-00571,Mei Suzuki,+90975903641,Returning,Malaysia,Kuala Lumpur,Mont Kiara,"106 Block 20, Mont Kiara",3.126866,101.697079,REST-0087,Seoul Garden,Casual Dining,Korean,1983,Malaysia,Kuala Lumpur,KLCC,142 Park Lane,3.124779,101.714462,4.2,2020,Yes,Pajeon (Scallion Pancake),Korean,2,9.29,2.6,18.58,2.34,0.0,LUNCHSPECIAL,20.92,5.2,3.12,0.19,2.15,1.09,0.62,20.92,8.63,12.29,2.65,58.75,Digital Wallet,Refunded,RIDER-0114,Thanh Patel,23,Yes,2.9,2.7,No,Android,No,No
FP-001264,2024-01-31,15:50,Jan-2024,Wednesday,Delivered,CUST-00489,Lena Rahman,+61187212377,New,Bangladesh,Chittagong,GEC,"237 Lane 19, GEC",22.361583,91.87871,REST-0041,Burger King,Fast Food,American,1953,Bangladesh,Chittagong,Nasirabad,123 Park Lane,22.327699,91.824907,3.9,2020,Yes,Loaded Fries,American,1,5.71,1.51,5.71,0.74,0.0,,6.45,1.51,0.75,0.28,1.22,0.26,0.21,6.45,3.27,3.18,-0.06,49.3,Digital Wallet,Paid,RIDER-0186,Tariq Chen,62,No,3.0,4.7,No,Android,No,No
FP-001343,2024-01-31,14:54,Jan-2024,Wednesday,Delivered,CUST-00460,Zara Costa,+96179189225,Loyal,Pakistan,Islamabad,Blue Area,"228 Avenue 18, Blue Area",33.764932,73.118017,REST-0030,Pad Thai Street,Fast Food,Thai,2010,Pakistan,Islamabad,Blue Area,132 Commerce Blvd,33.688739,73.084884,3.4,2016,No,Thai Milk Tea,Thai,2,4.27,1.2,8.54,2.79,0.0,,11.33,2.4,1.71,0.19,2.11,0.28,0.21,11.33,4.98,6.35,2.13,56.05,Credit Card,Paid,RIDER-0060,Nina Wong,27,Yes,2.7,3.9,No,Android,No,No
FP-003099,2024-01-31,07:53,Jan-2024,Wednesday,Delivered,CUST-00426,Emily Kim,+67127824235,Loyal,Philippines,Cebu,Lahug,"4 Lane 2, Lahug",10.31429,123.854019,REST-0116,Peri Peri,Casual Dining,Chicken,2012,Philippines,Cebu,Lahug,31 Park Lane,10.286437,123.896606,3.8,2022,No,Chicken Platter,Chicken,2,14.37,4.77,28.74,0.45,3.88,SAVE15,25.31,9.54,3.88,0.43,1.26,1.65,1.0,29.19,12.88,12.43,1.99,42.58,Credit Card,Paid,RIDER-0174,Mei Costa,74,No,4.3,4.2,No,Android,No,No
FP-001701,2024-01-31,14:11,Jan-2024,Wednesday,Delivered,CUST-00495,Juan Park,+61634764290,Returning,Malaysia,Kuala Lumpur,KLCC,"154 Lane 3, KLCC",3.183542,101.684545,REST-0083,Burger King,Fast Food,American,1953,Malaysia,Kuala Lumpur,KLCC,165 Market Rd,3.113713,101.727346,3.3,2020,Yes,French Fries (L),American,2,4.45,1.26,8.9,0.72,1.49,PANDA20,8.13,2.52,1.35,0.23,2.51,0.3,0.22,9.62,5.56,2.57,-0.75,26.72,FoodPanda Credits,Paid,RIDER-0072,John Costa,44,No,4.5,2.5,No,Android,No,No
FP-000421,2024-01-31,12:33,Jan-2024,Wednesday,Delivered,CUST-00195,Wei Patel,+83194628740,Returning,Myanmar,Yangon,Kamaryut,"26 Street 19, Kamaryut",16.849673,96.16646,REST-0162,BBQ Tonight,Casual Dining,Korean,2007,Myanmar,Yangon,Kamaryut,108 Main St,16.898655,96.202306,3.9,2017,No,Bingsu,Korean,1,4.94,1.45,4.94,1.32,0.0,,6.26,1.45,0.85,0.31,0.74,0.25,0.16,6.26,2.75,3.51,1.03,56.07,Debit Card,Paid,RIDER-0171,Anusha Ahmed,52,No,3.3,2.4,No,Android,No,No
FP-002277,2024-02-01,13:45,Feb-2024,Thursday,Late Delivered,CUST-00571,Mei Suzuki,+90975903641,Loyal,Pakistan,Islamabad,G-9,"269 Block 15, G-9",33.697463,73.114031,REST-0026,Dragon Palace,Fine Dining,Chinese,2001,Pakistan,Islamabad,F-7,175 Park Lane,33.725304,73.077543,4.3,2016,No,Kung Pao Chicken,Chinese,1,9.91,2.79,9.91,2.39,0.0,,12.3,2.79,1.45,0.15,1.89,0.53,0.27,12.3,5.36,6.94,1.54,56.42,Digital Wallet,Paid,RIDER-0162,Hassan Malik,42,No,2.7,4.6,No,Android,No,No
FP-002984,2024-02-01,15:12,Feb-2024,Thursday,Late Delivered,CUST-00358,Siti Chen,+84500830389,Loyal,Myanmar,Yangon,Sanchaung,"27 Block 7, Sanchaung",16.905716,96.200931,REST-0161,Subway,Fast Food,American,1965,Myanmar,Yangon,Sanchaung,134 Commerce Blvd,16.859735,96.172613,4.8,2016,Yes,Chicken McNuggets 10pc,American,1,4.74,1.51,4.74,1.72,0.89,PANDA20,5.57,1.51,0.58,0.24,1.25,0.18,0.12,6.46,3.18,2.39,0.75,37.0,Cash on Delivery,Paid,RIDER-0084,Lena Tan,22,Yes,2.7,2.4,No,Android,No,No
FP-001587,2024-02-01,10:06,Feb-2024,Thursday,Delivered,CUST-00745,Omar Tan,+68881531720,Returning,Pakistan,Lahore,Model Town,"164 Block 20, Model Town",31.560033,74.36991,REST-0013,Burger King,Fast Food,American,1953,Pakistan,Lahore,Model Town,71 Park Lane,31.511134,74.301673,4.9,2016,Yes,Vanilla Milkshake,American,3,5.62,1.7,16.86,3.45,0.0,,20.31,5.1,3.6,0.42,1.39,0.56,0.39,20.31,7.47,12.84,5.07,63.22,Cash on Delivery,Paid,RIDER-0021,Maria Costa,57,No,3.5,2.5,No,Android,No,No
FP-002351,2024-02-01,00:52,Feb-2024,Thursday,Delivered,CUST-00769,David Singh,+74975943821,New,Pakistan,Karachi,Gulshan,"41 Lane 1, Gulshan",24.851959,66.989164,REST-0010,Starbucks,Cafe,Coffee,1971,Pakistan,Karachi,DHA,48 Park Lane,24.826927,67.032031,4.9,2016,Yes,Cappuccino,Coffee,1,4.88,1.71,4.88,3.21,0.0,,8.09,1.71,0.64,0.15,1.01,0.33,0.19,8.09,3.2,4.89,2.55,60.44,Cash on Delivery,Paid,RIDER-0107,Maria Ahmed,67,No,4.0,3.1,Yes,Android,Yes,No
FP-003009,2024-02-01,01:31,Feb-2024,Thursday,Refunded,CUST-00533,Juan Lee,+90406819991,Loyal,Hong Kong,Hong Kong,Mong Kok,"273 Block 2, Mong Kok",22.283505,114.186469,REST-0147,Pizza Hut,Fast Food,Italian,1958,Hong Kong,Hong Kong,Causeway Bay,27 Main St,22.273341,114.122008,3.8,2019,Yes,Tiramisu,Italian,2,11.71,3.63,23.42,2.35,0.0,,25.77,7.26,4.09,0.88,1.8,0.78,0.9,25.77,10.72,15.05,3.88,58.4,Cash on Delivery,Refunded,RIDER-0042,Anusha Malik,35,Yes,3.8,2.2,No,iOS,Yes,No
FP-002657,2024-02-01,18:09,Feb-2024,Thursday,Delivered,CUST-00679,Hassan Costa,+88909340042,New,Bangladesh,Chittagong,Agrabad,"25 Street 12, Agrabad",22.354933,91.836934,REST-0043,La Mexicana,Casual Dining,Mexican,2013,Bangladesh,Chittagong,Nasirabad,164 Main St,22.360163,91.86123,3.4,2017,No,Tamales 2pc,Mexican,5,8.81,2.48,44.05,3.27,12.35,NEWUSER30,34.97,12.4,9.49,0.34,2.04,2.21,1.13,47.32,16.99,17.98,9.3,38.0,Credit Card,Paid,RIDER-0172,Thanh Chen,47,No,4.8,2.6,Yes,iOS,No,No
FP-002620,2024-02-01,01:25,Feb-2024,Thursday,Refunded,CUST-00513,Mei Khan,+89231556899,Loyal,Pakistan,Islamabad,Blue Area,"239 Street 7, Blue Area",33.707715,73.100679,REST-0022,Curry Kingdom,Casual Dining,Indian,2010,Pakistan,Islamabad,Blue Area,85 Commerce Blvd,33.753465,73.078916,4.5,2017,No,Tandoori Chicken Half,Indian,4,11.86,3.85,47.44,3.41,0.0,,50.85,15.4,7.68,0.5,0.94,3.14,1.41,50.85,19.98,30.87,7.92,60.71,Debit Card,Refunded,RIDER-0045,Raj Wong,20,Yes,3.9,2.5,No,iOS,Yes,No
FP-002076,2024-02-01,19:12,Feb-2024,Thursday,Late Delivered,CUST-00587,Mei Hassan,+67304853117,Returning,Pakistan,Islamabad,F-7,"259 Avenue 20, F-7",33.737929,73.050398,REST-0021,Ichiban Boshi,Casual Dining,Japanese,1993,Pakistan,Islamabad,F-7,77 Market Rd,33.752069,73.12209,4.2,2020,Yes,Gyoza 6pc,Japanese,3,7.27,2.28,21.81,0.82,0.0,FLASHDEAL,22.63,6.84,3.5,0.49,0.87,1.23,0.73,22.63,9.43,13.2,2.46,58.33,Cash on Delivery,Paid,RIDER-0127,Ali Kim,38,Yes,4.5,3.3,No,Android,No,No
FP-001958,2024-02-02,10:20,Feb-2024,Friday,Delivered,CUST-00546,Fatima Chaudhry,+95400347789,Loyal,Singapore,Singapore,Orchard,"196 Block 10, Orchard",1.281667,103.874316,REST-0073,Yoshinoya,Fast Food,Japanese,1899,Singapore,Singapore,Orchard,188 Commerce Blvd,1.272729,103.800247,4.3,2021,Yes,Tuna Roll,Japanese,2,17.09,4.99,34.18,5.21,10.04,NEWUSER30,29.35,9.98,4.88,0.46,3.71,2.37,1.03,39.39,16.52,12.83,4.58,32.57,FoodPanda Credits,Paid,RIDER-0090,Emily Wang,74,No,2.6,3.7,Yes,Android,No,No
FP-003605,2024-02-02,01:01,Feb-2024,Friday,Delivered,CUST-00575,Wei Nguyen,+97430366556,Returning,Taiwan,Taipei,Da'an,"118 Block 16, Da'an",24.993451,121.524437,REST-0124,McDonald's,Fast Food,American,1940,Taiwan,Taipei,Zhongzheng,102 Commerce Blvd,25.006799,121.567388,3.3,2021,Yes,Chicken McNuggets 10pc,American,5,8.9,2.49,44.5,0.93,0.0,,45.43,12.45,9.13,0.35,1.41,2.76,1.48,45.43,16.97,28.46,7.02,62.65,Digital Wallet,Paid,RIDER-0135,Siti Chen,60,No,3.4,2.8,Yes,Android,Yes,No
FP-002408,2024-02-02,00:13,Feb-2024,Friday,Delivered,CUST-00728,Maria Sharma,+73720956992,Loyal,Pakistan,Lahore,Model Town,"161 Avenue 15, Model Town",31.492256,74.327673,REST-0015,McDonald's,Fast Food,American,1940,Pakistan,Lahore,Model Town,65 Food Ave,31.48489,74.319193,3.7,2019,Yes,Apple Pie,American,1,2.94,0.83,2.94,3.18,0.0,FLASHDEAL,6.12,0.83,0.54,0.17,1.93,0.12,0.11,6.12,3.05,3.07,1.61,50.16,Credit Card,Paid,RIDER-0162,Hassan Malik,39,Yes,4.4,4.7,No,Android,Yes,No
FP-000704,2024-02-02,04:09,Feb-2024,Friday,Delivered,CUST-00776,Thanh Lee,+77165452764,Returning,Myanmar,Yangon,Kamaryut,"232 Avenue 14, Kamaryut",16.911244,96.232,REST-0164,Dunkin',Cafe,Coffee,1950,Myanmar,Yangon,Sanchaung,106 Food Ave,16.848609,96.193563,3.9,2019,Yes,Blueberry Muffin,Coffee,4,3.19,0.95,12.76,1.58,1.64,SAVE15,12.7,3.8,2.01,0.24,0.9,0.51,0.26,14.34,5.45,7.25,2.2,50.56,Cash on Delivery,Paid,RIDER-0158,Siti Wang,62,No,4.9,4.1,Yes,Android,No,No
FP-001539,2024-02-02,10:50,Feb-2024,Friday,Cancelled,CUST-00675,Siti Singh,+68612662437,Returning,Philippines,Cebu,IT Park,"91 Block 15, IT Park",10.299088,123.912349,REST-0113,Popeyes,Fast Food,American,1972,Philippines,Cebu,Lahug,170 Market Rd,10.277483,123.906782,3.6,2018,Yes,Crispy Chicken Sandwich,American,2,7.14,2.05,14.28,2.04,0.0,,16.32,4.1,2.57,0.16,0.9,0.91,0.45,16.32,6.07,10.25,3.09,62.81,Digital Wallet,Refunded,RIDER-0042,Anusha Malik,0,N/A,3.5,,No,iOS,No,No
FP-001689,2024-02-02,23:43,Feb-2024,Friday,Delivered,CUST-00203,Emma Silva,+70182011731,Loyal,Myanmar,Yangon,Sanchaung,"257 Avenue 19, Sanchaung",16.906486,96.234436,REST-0162,BBQ Tonight,Casual Dining,Korean,2007,Myanmar,Yangon,Kamaryut,108 Main St,16.898655,96.202306,3.9,2017,No,Pajeon (Scallion Pancake),Korean,4,5.68,1.73,22.72,1.96,0.0,LUNCHSPECIAL,24.68,6.92,3.71,0.18,1.19,0.9,0.72,24.68,9.19,15.49,4.12,62.76,Credit Card,Paid,RIDER-0068,Nina Chaudhry,55,No,2.7,4.1,Yes,Android,Yes,No
